id;code;category;subcat;tricat;title
40;A05.2;I;A00-A09;A05;(A05.2) Foodborne Clostridium perfringens [Clostridium welchii] intoxication
41;A05.3;I;A00-A09;A05;(A05.3) Foodborne Vibrio parahaemolyticus intoxication
42;A05.4;I;A00-A09;A05;(A05.4) Foodborne Bacillus cereus intoxication
43;A05.8;I;A00-A09;A05;(A05.8) Other specified bacterial foodborne intoxications
44;A05.9;I;A00-A09;A05;(A05.9) Bacterial foodborne intoxication, unspecified
45;A06;I;A00-A09;0;(A06) Amoebiasis
46;A06.0;I;A00-A09;A06;(A06.0) Acute amoebic dysentery
47;A06.1;I;A00-A09;A06;(A06.1) Chronic intestinal amoebiasis
48;A06.2;I;A00-A09;A06;(A06.2) Amoebic nondysenteric colitis
49;A06.3;I;A00-A09;A06;(A06.3) Amoeboma of intestine
50;A06.4;I;A00-A09;A06;(A06.4) Amoebic liver abscess
51;A06.5;I;A00-A09;A06;(A06.5) Amoebic lung abscess
52;A06.6;I;A00-A09;A06;(A06.6) Amoebic brain abscess
53;A06.7;I;A00-A09;A06;(A06.7) Cutaneous amoebiasis
54;A06.8;I;A00-A09;A06;(A06.8) Amoebic infection of other sites
55;A06.9;I;A00-A09;A06;(A06.9) Amoebiasis, unspecified
56;A07;I;A00-A09;0;(A07) Other protozoal intestinal diseases
57;A07.0;I;A00-A09;A07;(A07.0) Balantidiasis
58;A07.1;I;A00-A09;A07;(A07.1) Giardiasis [lambliasis]
59;A07.2;I;A00-A09;A07;(A07.2) Cryptosporidiosis
60;A07.3;I;A00-A09;A07;(A07.3) Isosporiasis
61;A07.8;I;A00-A09;A07;(A07.8) Other specified protozoal intestinal diseases
62;A07.9;I;A00-A09;A07;(A07.9) Protozoal intestinal disease, unspecified
63;A08;I;A00-A09;0;(A08) Viral and other specified intestinal infections
64;A08.0;I;A00-A09;A08;(A08.0) Rotaviral enteritis
65;A08.1;I;A00-A09;A08;(A08.1) Acute gastro-enteropathy due to Norwalk agent
66;A08.2;I;A00-A09;A08;(A08.2) Adenoviral enteritis
67;A08.3;I;A00-A09;A08;(A08.3) Other viral enteritis
68;A08.4;I;A00-A09;A08;(A08.4) Viral intestinal infection, unspecified
69;A08.5;I;A00-A09;A08;(A08.5) Other specified intestinal infections
70;A09;I;A00-A09;0;(A09) Diarrhoea and gastro-enteritis of presumed infectious origin
71;A15-A19;I;0;0;(A15-A19) Tuberculosis
72;A15;I;A15-A19;0;(A15) Respiratory tuberculosis, bacteriologically and histologically confirmed
73;A15.0;I;A15-A19;A15;(A15.0) Tuberculosis of lung, confirmed by sputum microscopy with or without culture
74;A15.1;I;A15-A19;A15;(A15.1) Tuberculosis of lung, confirmed by culture only
75;A15.2;I;A15-A19;A15;(A15.2) Tuberculosis of lung, confirmed histologically
76;A15.3;I;A15-A19;A15;(A15.3) Tuberculosis of lung, confirmed by unspecified means
77;A15.4;I;A15-A19;A15;(A15.4) Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically
78;A15.5;I;A15-A19;A15;(A15.5) Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically
79;A15.6;I;A15-A19;A15;(A15.6) Tuberculous pleurisy, confirmed bacteriologically and histologically
80;A15.7;I;A15-A19;A15;(A15.7) Primary respiratory tuberculosis, confirmed bacteriologically and histologically
81;A15.8;I;A15-A19;A15;(A15.8) Other respiratory tuberculosis, confirmed bacteriologically and histologically
82;A15.9;I;A15-A19;A15;(A15.9) Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically
83;A16;I;A15-A19;0;(A16) Respiratory tuberculosis, not confirmed bacteriologically or histologically
84;A16.0;I;A15-A19;A16;(A16.0) Tuberculosis of lung, bacteriologically and histologically negative
85;A16.1;I;A15-A19;A16;(A16.1) Tuberculosis of lung, bacteriological and histological examination not done
86;A16.2;I;A15-A19;A16;(A16.2) Tuberculosis of lung, without mention of bacteriological or histological confirmation
87;A16.3;I;A15-A19;A16;(A16.3) Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation
88;A16.4;I;A15-A19;A16;(A16.4) Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation
89;A16.5;I;A15-A19;A16;(A16.5) Tuberculous pleurisy, without mention of bacteriological or histological confirmation
90;A16.7;I;A15-A19;A16;(A16.7) Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
91;A16.8;I;A15-A19;A16;(A16.8) Other respiratory tuberculosis, without mention of bacteriological or histological confirmation
92;A16.9;I;A15-A19;A16;(A16.9) Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation
93;A17;I;A15-A19;0;(A17) Tuberculosis of nervous system
94;A17.0;I;A15-A19;A17;(A17.0) Tuberculous meningitis
95;A17.1;I;A15-A19;A17;(A17.1) Meningeal tuberculoma
96;A17.8;I;A15-A19;A17;(A17.8) Other tuberculosis of nervous system
97;A17.9;I;A15-A19;A17;(A17.9) Tuberculosis of nervous system, unspecified
98;A18;I;A15-A19;0;(A18) Tuberculosis of other organs
99;A18.0;I;A15-A19;A18;(A18.0) Tuberculosis of bones and joints
100;A18.1;I;A15-A19;A18;(A18.1) Tuberculosis of genito-urinary system
101;A18.2;I;A15-A19;A18;(A18.2) Tuberculous peripheral lymphadenopathy
102;A18.3;I;A15-A19;A18;(A18.3) Tuberculosis of intestines, peritoneum and mesenteric glands
103;A18.4;I;A15-A19;A18;(A18.4) Tuberculosis of skin and subcutaneous tissue
104;A18.5;I;A15-A19;A18;(A18.5) Tuberculosis of eye
105;A18.6;I;A15-A19;A18;(A18.6) Tuberculosis of ear
106;A18.7;I;A15-A19;A18;(A18.7) Tuberculosis of adrenal glands
107;A18.8;I;A15-A19;A18;(A18.8) Tuberculosis of other specified organs
108;A19;I;A15-A19;0;(A19) Miliary tuberculosis
109;A19.0;I;A15-A19;A19;(A19.0) Acute miliary tuberculosis of a single specified site
110;A19.1;I;A15-A19;A19;(A19.1) Acute miliary tuberculosis of multiple sites
111;A19.2;I;A15-A19;A19;(A19.2) Acute miliary tuberculosis, unspecified
112;A19.8;I;A15-A19;A19;(A19.8) Other miliary tuberculosis
113;A19.9;I;A15-A19;A19;(A19.9) Miliary tuberculosis, unspecified
114;A20-A28;I;0;0;(A20-A28) Certain zoonotic bacterial diseases
115;A20;I;A20-A28;0;(A20) Plague
116;A20.0;I;A20-A28;A20;(A20.0) Bubonic plague
117;A20.1;I;A20-A28;A20;(A20.1) Cellulocutaneous plague
118;A20.2;I;A20-A28;A20;(A20.2) Pneumonic plague
119;A20.3;I;A20-A28;A20;(A20.3) Plague meningitis
120;A20.7;I;A20-A28;A20;(A20.7) Septicaemic plague
121;A20.8;I;A20-A28;A20;(A20.8) Other forms of plague
122;A20.9;I;A20-A28;A20;(A20.9) Plague, unspecified
123;A21;I;A20-A28;0;(A21) Tularaemia
124;A21.0;I;A20-A28;A21;(A21.0) Ulceroglandular tularaemia
125;A21.1;I;A20-A28;A21;(A21.1) Oculoglandular tularaemia
126;A21.2;I;A20-A28;A21;(A21.2) Pulmonary tularaemia
127;A21.3;I;A20-A28;A21;(A21.3) Gastro-intestinal tularaemia
128;A21.7;I;A20-A28;A21;(A21.7) Generalised tularaemia
129;A21.8;I;A20-A28;A21;(A21.8) Other forms of tularaemia
130;A21.9;I;A20-A28;A21;(A21.9) Tularaemia, unspecified
131;A22;I;A20-A28;0;(A22) Anthrax
132;A22.0;I;A20-A28;A22;(A22.0) Cutaneous anthrax
133;A22.1;I;A20-A28;A22;(A22.1) Pulmonary anthrax
134;A22.2;I;A20-A28;A22;(A22.2) Gastro-intestinal anthrax
135;A22.7;I;A20-A28;A22;(A22.7) Anthrax septicaemia
136;A22.8;I;A20-A28;A22;(A22.8) Other forms of anthrax
137;A22.9;I;A20-A28;A22;(A22.9) Anthrax, unspecified
138;A23;I;A20-A28;0;(A23) Brucellosis
139;A23.0;I;A20-A28;A23;(A23.0) Brucellosis due to Brucella melitensis
140;A23.1;I;A20-A28;A23;(A23.1) Brucellosis due to Brucella abortus
141;A23.2;I;A20-A28;A23;(A23.2) Brucellosis due to Brucella suis
142;A23.3;I;A20-A28;A23;(A23.3) Brucellosis due to Brucella canis
143;A23.8;I;A20-A28;A23;(A23.8) Other brucellosis
144;A23.9;I;A20-A28;A23;(A23.9) Brucellosis, unspecified
145;A24;I;A20-A28;0;(A24) Glanders and melioidosis
146;A24.0;I;A20-A28;A24;(A24.0) Glanders
147;A24.1;I;A20-A28;A24;(A24.1) Acute and fulminating melioidosis
148;A24.2;I;A20-A28;A24;(A24.2) Subacute and chronic melioidosis
149;A24.3;I;A20-A28;A24;(A24.3) Other melioidosis
150;A24.4;I;A20-A28;A24;(A24.4) Melioidosis, unspecified
151;A25;I;A20-A28;0;(A25) Rat-bite fevers
152;A25.0;I;A20-A28;A25;(A25.0) Spirillosis
153;A25.1;I;A20-A28;A25;(A25.1) Streptobacillosis
154;A25.9;I;A20-A28;A25;(A25.9) Rat-bite fever, unspecified
155;A26;I;A20-A28;0;(A26) Erysipeloid
156;A26.0;I;A20-A28;A26;(A26.0) Cutaneous erysipeloid
157;A26.7;I;A20-A28;A26;(A26.7) Erysipelothrix septicaemia
158;A26.8;I;A20-A28;A26;(A26.8) Other forms of erysipeloid
159;A26.9;I;A20-A28;A26;(A26.9) Erysipeloid, unspecified
160;A27;I;A20-A28;0;(A27) Leptospirosis
161;A27.0;I;A20-A28;A27;(A27.0) Leptospirosis icterohaemorrhagica
162;A27.8;I;A20-A28;A27;(A27.8) Other forms of leptospirosis
163;A27.9;I;A20-A28;A27;(A27.9) Leptospirosis, unspecified
164;A28;I;A20-A28;0;(A28) Other zoonotic bacterial diseases, not elsewhere classified
165;A28.0;I;A20-A28;A28;(A28.0) Pasteurellosis
166;A28.1;I;A20-A28;A28;(A28.1) Cat-scratch disease
167;A28.2;I;A20-A28;A28;(A28.2) Extraintestinal yersiniosis
168;A28.8;I;A20-A28;A28;(A28.8) Other specified zoonotic bacterial diseases, not elsewhere classified
169;A28.9;I;A20-A28;A28;(A28.9) Zoonotic bacterial disease, unspecified
170;A30-A49;I;0;0;(A30-A49) Other bacterial diseases
171;A30;I;A30-A49;0;(A30) Leprosy [Hansen's disease]
172;A30.0;I;A30-A49;A30;(A30.0) Indeterminate leprosy
173;A30.1;I;A30-A49;A30;(A30.1) Tuberculoid leprosy
174;A30.2;I;A30-A49;A30;(A30.2) Borderline tuberculoid leprosy
175;A30.3;I;A30-A49;A30;(A30.3) Borderline leprosy
176;A30.4;I;A30-A49;A30;(A30.4) Borderline lepromatous leprosy
177;A30.5;I;A30-A49;A30;(A30.5) Lepromatous leprosy
178;A30.8;I;A30-A49;A30;(A30.8) Other forms of leprosy
179;A30.9;I;A30-A49;A30;(A30.9) Leprosy, unspecified
180;A31;I;A30-A49;0;(A31) Infection due to other mycobacteria
181;A31.0;I;A30-A49;A31;(A31.0) Pulmonary mycobacterial infection
182;A31.1;I;A30-A49;A31;(A31.1) Cutaneous mycobacterial infection
183;A31.8;I;A30-A49;A31;(A31.8) Other mycobacterial infections
184;A31.9;I;A30-A49;A31;(A31.9) Mycobacterial infection, unspecified
185;A32;I;A30-A49;0;(A32) Listeriosis
186;A32.0;I;A30-A49;A32;(A32.0) Cutaneous listeriosis
187;A32.1;I;A30-A49;A32;(A32.1) Listerial meningitis and meningoencephalitis
188;A32.7;I;A30-A49;A32;(A32.7) Listerial septicaemia
189;A32.8;I;A30-A49;A32;(A32.8) Other forms of listeriosis
190;A32.9;I;A30-A49;A32;(A32.9) Listeriosis, unspecified
191;A33;I;A30-A49;0;(A33) Tetanus neonatorum
192;A34;I;A30-A49;0;(A34) Obstetrical tetanus
193;A35;I;A30-A49;0;(A35) Other tetanus
194;A36;I;A30-A49;0;(A36) Diphtheria
195;A36.0;I;A30-A49;A36;(A36.0) Pharyngeal diphtheria
196;A36.1;I;A30-A49;A36;(A36.1) Nasopharyngeal diphtheria
197;A36.2;I;A30-A49;A36;(A36.2) Laryngeal diphtheria
198;A36.3;I;A30-A49;A36;(A36.3) Cutaneous diphtheria
199;A36.8;I;A30-A49;A36;(A36.8) Other diphtheria
200;A36.9;I;A30-A49;A36;(A36.9) Diphtheria, unspecified
201;A37;I;A30-A49;0;(A37) Whooping cough
202;A37.0;I;A30-A49;A37;(A37.0) Whooping cough due to Bordetella pertussis
203;A37.1;I;A30-A49;A37;(A37.1) Whooping cough due to Bordetella parapertussis
204;A37.8;I;A30-A49;A37;(A37.8) Whooping cough due to other Bordetella species
205;A37.9;I;A30-A49;A37;(A37.9) Whooping cough, unspecified
206;A38;I;A30-A49;0;(A38) Scarlet fever
207;A39;I;A30-A49;0;(A39) Meningococcal infection
208;A39.0;I;A30-A49;A39;(A39.0) Meningococcal meningitis
209;A39.1;I;A30-A49;A39;(A39.1) Waterhouse-Friderichsen syndrome
210;A39.2;I;A30-A49;A39;(A39.2) Acute meningococcaemia
211;A39.3;I;A30-A49;A39;(A39.3) Chronic meningococcaemia
212;A39.4;I;A30-A49;A39;(A39.4) Meningococcaemia, unspecified
213;A39.5;I;A30-A49;A39;(A39.5) Meningococcal heart disease
214;A39.8;I;A30-A49;A39;(A39.8) Other meningococcal infections
215;A39.9;I;A30-A49;A39;(A39.9) Meningococcal infection, unspecified
216;A40;I;A30-A49;0;(A40) Streptococcal septicaemia
217;A40.0;I;A30-A49;A40;(A40.0) Septicaemia due to streptococcus, group A
218;A40.1;I;A30-A49;A40;(A40.1) Septicaemia due to streptococcus, group B
219;A40.2;I;A30-A49;A40;(A40.2) Septicaemia due to streptococcus, group D
220;A40.3;I;A30-A49;A40;(A40.3) Septicaemia due to Streptococcus pneumoniae
221;A40.8;I;A30-A49;A40;(A40.8) Other streptococcal septicaemia
222;A40.9;I;A30-A49;A40;(A40.9) Streptococcal septicaemia, unspecified
223;A41;I;A30-A49;0;(A41) Other septicaemia
224;A41.0;I;A30-A49;A41;(A41.0) Septicaemia due to Staphylococcus aureus
225;A41.1;I;A30-A49;A41;(A41.1) Septicaemia due to other specified staphylococcus
226;A41.2;I;A30-A49;A41;(A41.2) Septicaemia due to unspecified staphylococcus
227;A41.3;I;A30-A49;A41;(A41.3) Septicaemia due to Haemophilus influenzae
228;A41.4;I;A30-A49;A41;(A41.4) Septicaemia due to anaerobes
229;A41.5;I;A30-A49;A41;(A41.5) Septicaemia due to other Gram-negative organisms
230;A41.8;I;A30-A49;A41;(A41.8) Other specified septicaemia
231;A41.9;I;A30-A49;A41;(A41.9) Septicaemia, unspecified
232;A42;I;A30-A49;0;(A42) Actinomycosis
233;A42.0;I;A30-A49;A42;(A42.0) Pulmonary actinomycosis
234;A42.1;I;A30-A49;A42;(A42.1) Abdominal actinomycosis
235;A42.2;I;A30-A49;A42;(A42.2) Cervicofacial actinomycosis
236;A42.7;I;A30-A49;A42;(A42.7) Actinomycotic septicaemia
237;A42.8;I;A30-A49;A42;(A42.8) Other forms of actinomycosis
238;A42.9;I;A30-A49;A42;(A42.9) Actinomycosis, unspecified
239;A43;I;A30-A49;0;(A43) Nocardiosis
240;A43.0;I;A30-A49;A43;(A43.0) Pulmonary nocardiosis
241;A43.1;I;A30-A49;A43;(A43.1) Cutaneous nocardiosis
242;A43.8;I;A30-A49;A43;(A43.8) Other forms of nocardiosis
243;A43.9;I;A30-A49;A43;(A43.9) Nocardiosis, unspecified
244;A44;I;A30-A49;0;(A44) Bartonellosis
245;A44.0;I;A30-A49;A44;(A44.0) Systemic bartonellosis
246;A44.1;I;A30-A49;A44;(A44.1) Cutaneous and mucocutaneous bartonellosis
247;A44.8;I;A30-A49;A44;(A44.8) Other forms of bartonellosis
248;A44.9;I;A30-A49;A44;(A44.9) Bartonellosis, unspecified
249;A46;I;A30-A49;0;(A46) Erysipelas
250;A48;I;A30-A49;0;(A48) Other bacterial diseases, not elsewhere classified
251;A48.0;I;A30-A49;A48;(A48.0) Gas gangrene
252;A48.1;I;A30-A49;A48;(A48.1) Legionnaires' disease
253;A48.2;I;A30-A49;A48;(A48.2) Nonpneumonic Legionnaires' disease [Pontiac fever]
254;A48.3;I;A30-A49;A48;(A48.3) Toxic shock syndrome
255;A48.4;I;A30-A49;A48;(A48.4) Brazilian purpuric fever
256;A48.8;I;A30-A49;A48;(A48.8) Other specified bacterial diseases
257;A49;I;A30-A49;0;(A49) Bacterial infection of unspecified site
258;A49.0;I;A30-A49;A49;(A49.0) Staphylococcal infection, unspecified
259;A49.1;I;A30-A49;A49;(A49.1) Streptococcal infection, unspecified
260;A49.2;I;A30-A49;A49;(A49.2) Haemophilus influenzae infection, unspecified
261;A49.3;I;A30-A49;A49;(A49.3) Mycoplasma infection, unspecified
262;A49.8;I;A30-A49;A49;(A49.8) Other bacterial infections of unspecified site
263;A49.9;I;A30-A49;A49;(A49.9) Bacterial infection, unspecified
264;A50-A64;I;0;0;(A50-A64) Infections with a predominantly sexual mode of transmission
265;A50;I;A50-A64;0;(A50) Congenital syphilis
266;A50.0;I;A50-A64;A50;(A50.0) Early congenital syphilis, symptomatic
267;A50.1;I;A50-A64;A50;(A50.1) Early congenital syphilis, latent
268;A50.2;I;A50-A64;A50;(A50.2) Early congenital syphilis, unspecified
269;A50.3;I;A50-A64;A50;(A50.3) Late congenital syphilitic oculopathy
270;A50.4;I;A50-A64;A50;(A50.4) Late congenital neurosyphilis [juvenile neurosyphilis]
271;A50.5;I;A50-A64;A50;(A50.5) Other late congenital syphilis, symptomatic
272;A50.6;I;A50-A64;A50;(A50.6) Late congenital syphilis, latent
273;A50.7;I;A50-A64;A50;(A50.7) Late congenital syphilis, unspecified
274;A50.9;I;A50-A64;A50;(A50.9) Congenital syphilis, unspecified
275;A51;I;A50-A64;0;(A51) Early syphilis
276;A51.0;I;A50-A64;A51;(A51.0) Primary genital syphilis
277;A51.1;I;A50-A64;A51;(A51.1) Primary anal syphilis
278;A51.2;I;A50-A64;A51;(A51.2) Primary syphilis of other sites
279;A51.3;I;A50-A64;A51;(A51.3) Secondary syphilis of skin and mucous membranes
280;A51.4;I;A50-A64;A51;(A51.4) Other secondary syphilis
281;A51.5;I;A50-A64;A51;(A51.5) Early syphilis, latent
282;A51.9;I;A50-A64;A51;(A51.9) Early syphilis, unspecified
283;A52;I;A50-A64;0;(A52) Late syphilis
284;A52.0;I;A50-A64;A52;(A52.0) Cardiovascular syphilis
285;A52.1;I;A50-A64;A52;(A52.1) Symptomatic neurosyphilis
286;A52.2;I;A50-A64;A52;(A52.2) Asymptomatic neurosyphilis
287;A52.3;I;A50-A64;A52;(A52.3) Neurosyphilis, unspecified
288;A52.7;I;A50-A64;A52;(A52.7) Other symptomatic late syphilis
289;A52.8;I;A50-A64;A52;(A52.8) Late syphilis, latent
290;A52.9;I;A50-A64;A52;(A52.9) Late syphilis, unspecified
291;A53;I;A50-A64;0;(A53) Other and unspecified syphilis
292;A53.0;I;A50-A64;A53;(A53.0) Latent syphilis, unspecified as early or late
293;A53.9;I;A50-A64;A53;(A53.9) Syphilis, unspecified
294;A54;I;A50-A64;0;(A54) Gonococcal infection
295;A54.0;I;A50-A64;A54;(A54.0) Gonococcal infection of lower genito-urinary tract without periurethral or accessory gland abscess
296;A54.1;I;A50-A64;A54;(A54.1) Gonococcal infection of lower genito-urinary tract with periurethral and accessory gland abscess
297;A54.2;I;A50-A64;A54;(A54.2) Gonococcal pelviperitonitis and other gonococcal genito-urinary infections
298;A54.3;I;A50-A64;A54;(A54.3) Gonococcal infection of eye
299;A54.4;I;A50-A64;A54;(A54.4) Gonococcal infection of musculoskeletal system
300;A54.5;I;A50-A64;A54;(A54.5) Gonococcal pharyngitis
301;A54.6;I;A50-A64;A54;(A54.6) Gonococcal infection of anus and rectum
302;A54.8;I;A50-A64;A54;(A54.8) Other gonococcal infections
303;A54.9;I;A50-A64;A54;(A54.9) Gonococcal infection, unspecified
304;A55;I;A50-A64;0;(A55) Chlamydial lymphogranuloma (venereum)
305;A56;I;A50-A64;0;(A56) Other sexually transmitted chlamydial diseases
306;A56.0;I;A50-A64;A56;(A56.0) Chlamydial infection of lower genito-urinary tract
307;A56.1;I;A50-A64;A56;(A56.1) Chlamydial infection of pelviperitoneum and other genito-urinary organs
308;A56.2;I;A50-A64;A56;(A56.2) Chlamydial infection of genito-urinary tract, unspecified
309;A56.3;I;A50-A64;A56;(A56.3) Chlamydial infection of anus and rectum
310;A56.4;I;A50-A64;A56;(A56.4) Chlamydial infection of pharynx
311;A56.8;I;A50-A64;A56;(A56.8) Sexually transmitted chlamydial infection of other sites
312;A57;I;A50-A64;0;(A57) Chancroid
313;A58;I;A50-A64;0;(A58) Granuloma inguinale
314;A59;I;A50-A64;0;(A59) Trichomoniasis
315;A59.0;I;A50-A64;A59;(A59.0) Urogenital trichomoniasis
316;A59.8;I;A50-A64;A59;(A59.8) Trichomoniasis of other sites
317;A59.9;I;A50-A64;A59;(A59.9) Trichomoniasis, unspecified
318;A60;I;A50-A64;0;(A60) Anogenital herpesviral [herpes simplex] infections
319;A60.0;I;A50-A64;A60;(A60.0) Herpesviral infection of genitalia and urogenital tract
320;A60.1;I;A50-A64;A60;(A60.1) Herpesviral infection of perianal skin and rectum
321;A60.9;I;A50-A64;A60;(A60.9) Anogenital herpesviral infection, unspecified
322;A63;I;A50-A64;0;(A63) Other predominantly sexually transmitted diseases, not elsewhere classified
323;A63.0;I;A50-A64;A63;(A63.0) Anogenital (venereal) warts
324;A63.8;I;A50-A64;A63;(A63.8) Other specified predominantly sexually transmitted diseases
325;A64;I;A50-A64;0;(A64) Unspecified sexually transmitted disease
326;A65-A69;I;0;0;(A65-A69) Other spirochaetal diseases
327;A65;I;A65-A69;0;(A65) Non-venereal syphilis
328;A66;I;A65-A69;0;(A66) Yaws
329;A66.0;I;A65-A69;A66;(A66.0) Initial lesions of yaws
330;A66.1;I;A65-A69;A66;(A66.1) Multiple papillomata and wet crab yaws
331;A66.2;I;A65-A69;A66;(A66.2) Other early skin lesions of yaws
332;A66.3;I;A65-A69;A66;(A66.3) Hyperkeratosis of yaws
333;A66.4;I;A65-A69;A66;(A66.4) Gummata and ulcers of yaws
334;A66.5;I;A65-A69;A66;(A66.5) Gangosa
335;A66.6;I;A65-A69;A66;(A66.6) Bone and joint lesions of yaws
336;A66.7;I;A65-A69;A66;(A66.7) Other manifestations of yaws
337;A66.8;I;A65-A69;A66;(A66.8) Latent yaws
338;A66.9;I;A65-A69;A66;(A66.9) Yaws, unspecified
339;A67;I;A65-A69;0;(A67) Pinta [carate]
340;A67.0;I;A65-A69;A67;(A67.0) Primary lesions of pinta
341;A67.1;I;A65-A69;A67;(A67.1) Intermediate lesions of pinta
342;A67.2;I;A65-A69;A67;(A67.2) Late lesions of pinta
343;A67.3;I;A65-A69;A67;(A67.3) Mixed lesions of pinta
344;A67.9;I;A65-A69;A67;(A67.9) Pinta, unspecified
345;A68;I;A65-A69;0;(A68) Relapsing fevers
346;A68.0;I;A65-A69;A68;(A68.0) Louse-borne relapsing fever
347;A68.1;I;A65-A69;A68;(A68.1) Tick-borne relapsing fever
348;A68.9;I;A65-A69;A68;(A68.9) Relapsing fever, unspecified
349;A69;I;A65-A69;0;(A69) Other spirochaetal infections
350;A69.0;I;A65-A69;A69;(A69.0) Necrotising ulcerative stomatitis
351;A69.1;I;A65-A69;A69;(A69.1) Other Vincent's infections
352;A69.2;I;A65-A69;A69;(A69.2) Lyme disease
353;A69.8;I;A65-A69;A69;(A69.8) Other specified spirochaetal infections
354;A69.9;I;A65-A69;A69;(A69.9) Spirochaetal infection, unspecified
355;A70-A74;I;0;0;(A70-A74) Other diseases caused by chlamydiae
356;A70;I;A70-A74;0;(A70) Chlamydia psittaci infection
357;A71;I;A70-A74;0;(A71) Trachoma
358;A71.0;I;A70-A74;A71;(A71.0) Initial stage of trachoma
359;A71.1;I;A70-A74;A71;(A71.1) Active stage of trachoma
360;A71.9;I;A70-A74;A71;(A71.9) Trachoma, unspecified
361;A74;I;A70-A74;0;(A74) Other diseases caused by chlamydiae
362;A74.0;I;A70-A74;A74;(A74.0) Chlamydial conjunctivitis
363;A74.8;I;A70-A74;A74;(A74.8) Other chlamydial diseases
364;A74.9;I;A70-A74;A74;(A74.9) Chlamydial infection, unspecified
365;A75-A79;I;0;0;(A75-A79) Rickettsioses
366;A75;I;A75-A79;0;(A75) Typhus fever
367;A75.0;I;A75-A79;A75;(A75.0) Epidemic louse-borne typhus fever due to Rickettsia prowazekii
368;A75.1;I;A75-A79;A75;(A75.1) Recrudescent typhus [Brill's disease]
369;A75.2;I;A75-A79;A75;(A75.2) Typhus fever due to Rickettsia typhi
370;A75.3;I;A75-A79;A75;(A75.3) Typhus fever due to Rickettsia tsutsugamushi
371;A75.9;I;A75-A79;A75;(A75.9) Typhus fever, unspecified
372;A77;I;A75-A79;0;(A77) Spotted fever [tick-borne rickettsioses]
