id;code;name;address;region;province;city;barangay;zip;landline;cellphone;fax;email;email2;website;ownership;type;status
26;DOH000000000000026;KIBLAWAN RURAL HEALTH UNIT;Poblacion;Region 11;DAVAO DEL SUR;KIBLAWAN;POBLACION;8008;;;;;;;Government;Rural Health Unit;Active
27;DOH000000000000027;TAMBULIG RURAL HEALTH CENTER;Poblacion, Tambulig, Zamboanga del Sur;Region 9;ZAMBOANGA DEL SUR;TAMBULIG;;7025;;;;;;;Government;Rural Health Unit;Active
28;DOH000000000000028;RAMON MAGSAYSAY RURAL HEALTH UNIT;;Region 9;ZAMBOANGA DEL SUR;RAMON MAGSAYSAY (LIARGO);POBLACION;7024;;;;;;;Government;Rural Health Unit;Active
29;DOH000000000000030;SANTA RITA RURAL HEALTH UNIT;;Region 3;ZAMBALES;OLONGAPO CITY;SANTA RITA;;;;;;;;Government;Rural Health Unit;Active
30;DOH000000000000031;GUAGUA RURAL HEALTH UNIT I;;Region 3;PAMPANGA;GUAGUA;;;(045)9000865;;;;;;Government;Rural Health Unit;Active
31;DOH000000000000032;LINAPACAN RURAL HEALTH UNIT;;Region 4B;PALAWAN;LINAPACAN;SAN MIGUEL (POB.);;;9085263707;;;;;Government;Rural Health Unit;Active
32;DOH000000000000033;KAPANGAN RURAL HEALTH UNIT;;CAR;BENGUET;KAPANGAN;POBLACION CENTRAL;2613;;;;;;;Government;Rural Health Unit;Active
33;DOH000000000000034;TIPO-TIPO MAIN HEALTH CENTER;;ARMM;BASILAN;TIPO-TIPO;;7304;;9291709589;;;;;Government;Main Health Center;Active
34;DOH000000000000035;LUPON RURAL HEALTH UNIT;Municipal Avenue;Region 11;DAVAO ORIENTAL;LUPON;POBLACION;8207;(087) 8080393;;(087) 8080393;;;;Government;Rural Health Unit;Active
35;DOH000000000000036;BANAYBANAY RURAL HEALTH UNIT;Poblacion;Region 11;DAVAO ORIENTAL;BANAYBANAY;;8208;;;;;;;Government;Rural Health Unit;Active
36;DOH000000000000037;SANTO TOMAS RURAL HEALTH UNIT;FD Rd. 3 National Hi-way;Region 11;DAVAO DEL NORTE;SANTO TOMAS;TIBAL-OG (POB.);8112;(084) 8290315;9189425528;(084) 8290290;;;;Government;Rural Health Unit;Active
37;DOH000000000000038;LAKE SEBU RURAL HEALTH UNIT;;Region 12;SOUTH COTABATO;LAKE SEBU;POBLACION;9512;;;;;;;Government;Rural Health Unit;Active
38;DOH000000000000039;LABASON RURAL HEALTH UNIT;;Region 9;ZAMBOANGA DEL NORTE;LABASON;IMELDA;7117;;9177187379;;;;;Government;Rural Health Unit;Active
39;DOH000000000000040;MIAG-AO RURAL HEALTH UNIT;Mueder St., Miagao, Poblacion;Region 6;ILOILO;MIAGAO;;5023;(033) 3158880;;;;;;Government;Rural Health Unit;Active
40;DOH000000000000041;TANGALAN RURAL HEALTH UNIT;San Juan St.;Region 6;AKLAN;TANGALAN;POBLACION;5612;(036) 2652004;;(036) 2652048;;;;Government;Rural Health Unit;Active
41;DOH000000000000042;GODOD RURAL HEALTH UNIT;Godod, Zamboanga del Norte;Region 9;ZAMBOANGA DEL NORTE;GODOD;;7114;;9195673874;;;;;Government;Rural Health Unit;Active
42;DOH000000000000043;BALIGUIAN RURAL HEALTH UNIT;Baliguian,Zamboanga del Norte;Region 9;ZAMBOANGA DEL NORTE;BALIGUIAN;;7119;;;;;;;Government;Rural Health Unit;Active
43;DOH000000000000044;TUPI RURAL HEALTH UNIT;Mun. compound, Poblacion, Tupi, South Cotabato;Region 12;SOUTH COTABATO;TUPI;;9505;(083)226282;;;;;;Government;Rural Health Unit;Active
44;DOH000000000000045;CANTILAN RURAL HEALTH UNIT;;CARAGA;SURIGAO DEL SUR;CANTILAN;;8317;(086)2125221;;;;;;Government;Rural Health Unit;Active
45;DOH000000000000046;TUBLAY RURAL HEALTH UNIT;;CAR;BENGUET;TUBLAY;;2615;;;;;;;Government;Rural Health Unit;Active
46;DOH000000000000047;TUAO RURAL HEALTH UNIT II;F. Duque;Region 2;CAGAYAN;TUAO;NARUANGAN;3528;;;;;;;Government;Rural Health Unit;Active
47;DOH000000000000048;CABUCGAYAN RURAL HEALTH UNIT;;Region 8;BILIRAN;CABUCGAYAN;MAGBANGON (POB.);6550;;9070000000;;;;;Government;Rural Health Unit;Active
48;DOH000000000000049;PURA RURAL HEALTH UNIT;;Region 3;TARLAC;PURA;;2312;(045)9300495;;(045)9300495;;;;Government;Rural Health Unit;Active
49;DOH000000000000050;PAKIL RURAL HEALTH UNIT;;Region 4A;LAGUNA;PAKIL;GONZALES (POB.);4017;(049) 5572233;9272994204;;;;;Government;Rural Health Unit;Active
50;DOH000000000000051;BAROBO RURAL HEALTH UNIT;;CARAGA;SURIGAO DEL SUR;BAROBO;;8307;;;;;;;Government;Rural Health Unit;Active
51;DOH000000000000052;SIMUNUL RURAL HEALTH UNIT;;ARMM;TAWI-TAWI;SIMUNUL;TUBIG INDANGAN;7500;;9097968052;;;;;Government;Rural Health Unit;Active
52;DOH000000000000053;JAVIER RURAL HEALTH UNIT;;Region 8;LEYTE;JAVIER (BUGHO);;6511;(053) 3227201;9290000000;3227201;;;;Government;Rural Health Unit;Active
53;DOH000000000000054;MONKAYO RURAL HEALTH UNIT;1 Matillosa St.;Region 11;COMPOSTELA VALLEY;MONKAYO;POBLACION;8805;(084) 8220494;9217438383;423167;;;;Government;Rural Health Unit;Active
54;DOH000000000000055;BATAN MUNICIPAL HEALTH OFFICE;;Region 6;AKLAN;BATAN;POBLACION;5615;;;;;;;Government;Rural Health Unit;Active
55;DOH000000000000056;SAN AGUSTIN RURAL HEALTH UNIT;;Region 2;ISABELA;SAN AGUSTIN;MASAYA CENTRO (POB.);3314;;;;;;;Government;Rural Health Unit;Active
56;DOH000000000000057;GENERAL SALIPADA K. PENDATUN RURAL HEALTH UNIT;;ARMM;MAGUINDANAO;GEN. S. K. PENDATUN;;9618;none;none;none;;;;Government;Rural Health Unit;Active
57;DOH000000000000058;LANUZA RURAL HEALTH UNIT;;CARAGA;SURIGAO DEL SUR;LANUZA;;8314;;9282919305;;;;;Government;Rural Health Unit;Active
58;DOH000000000000060;SIRUMA MUNICIPAL HOSPITAL;;Region 5;CAMARINES SUR;SIRUMA;;4437;;;;;;;Government;Hospital;Active
59;DOH000000000000061;SAN MIGUEL RURAL HEALTH UNIT;Roxas St.;Region 6;ILOILO;SAN MIGUEL;BGY. 1 POB. (ROXAS ST.);5025;(033) 3310768;;;;;;Government;Rural Health Unit;Active
60;DOH000000000000062;GUINDULMAN RURAL HEALTH UNIT;;Region 7;BOHOL;GUINDULMAN;;6310;(038)5291181;9173030826;;;;;Government;Rural Health Unit;Active
61;DOH000000000000063;DUMALINAO RURAL HEALTH UNIT;;Region 9;ZAMBOANGA DEL SUR;DUMALINAO;PAGLAUM (POB.);7013;;;;;;;Government;Rural Health Unit;Active
62;DOH000000000000064;SINDANGAN RURAL HEALTH UNIT;;Region 9;ZAMBOANGA DEL NORTE;SINDANGAN;;7112;(065)2242073;;;;;;Government;Rural Health Unit;Active
63;DOH000000000000065;VINCENZO A. SAGUN RURAL HEALTH UNIT;;Region 9;ZAMBOANGA DEL SUR;VINCENZO A. SAGUN;;7036;(062)2115561;;;;;;Government;Rural Health Unit;Active
64;DOH000000000000066;GUIPOS RURAL HEALTH UNIT;;Region 9;ZAMBOANGA DEL SUR;GUIPOS;POBLACION (GUIPOS);7042;;9178228782;;;;;Government;Rural Health Unit;Active
65;DOH000000000000067;MOLAVE RURAL HEALTH UNIT;;Region 9;ZAMBOANGA DEL SUR;MOLAVE;MALOLOY-ON (POB.);7023;(062)2252241;;;;;;Government;Rural Health Unit;Active
66;DOH000000000000068;BATUAN RURAL HEALTH UNIT;;Region 7;BOHOL;BATUAN;;6318;(038) 5339101;0916-5338392;(038) 5339000;;;;Government;Rural Health Unit;Active
67;DOH000000000000069;PANDAN RURAL HEALTH UNIT;;Region 6;ANTIQUE;PANDAN;;5712;;;;;;;Government;Rural Health Unit;Active
68;DOH000000000000070;MATANAO RURAL HEALTH UNIT;;Region 11;DAVAO DEL SUR;MATANAO;POBLACION;8003;;;;;;;Government;Rural Health Unit;Active
69;DOH000000000000071;DUERO MUNICIPAL HEALTH OFFICE;;Region 7;BOHOL;DUERO;SAN PEDRO;6309;038-5301002;;038-5301002;;;;Government;Municipal Health Office;Active
70;DOH000000000000072;TRINIDAD MUNICIPAL HEALTH OFFICE;;Region 7;BOHOL;TRINIDAD;POBLACION;6324;(38)5161158;;;;;;Government;Municipal Health Office;Active
71;DOH000000000000073;JAGNA MUNICIPAL HEALTH OFFICE I;;Region 7;BOHOL;JAGNA;POBLACION (PONDOL);6308;(038)2382327;;(038)2382327;;;;Government;Municipal Health Office;Active
72;DOH000000000000074;SAN MIGUEL MUNICIPAL HEALTH OFFICE;;Region 7;BOHOL;SAN MIGUEL;POBLACION;6323;;91691160558;5203016;;;;Government;Municipal Health Office;Active
73;DOH000000000000075;PANGIL RURAL HEALTH UNIT;;Region 4A;LAGUNA;PANGIL;SAN JOSE (POB.);4018;(049) 5570282;9272994204;;;;;Government;Rural Health Unit;Active
74;DOH000000000000076;BISLIG HEALTH CENTER;;CARAGA;SURIGAO DEL SUR;CITY OF BISLIG;POBLACION;;(086)8535338;;;;;;Government;Rural Health Unit;Active
75;DOH000000000000077;EL NIDO RURAL HEALTH UNIT;;Region 4B;PALAWAN;EL NIDO (BACUIT);MALIGAYA POB. (BARANGAY 1);;;;;;;;Government;Rural Health Unit;Active
76;DOH000000000000078;TRENTO RURAL HEALTH UNIT;;CARAGA;AGUSAN DEL SUR;TRENTO;;8505;(085)2552480;;(085)2552415;;;;Government;Rural Health Unit;Active
77;DOH000000000000079;SAN FRANCISCO RURAL HEALTH UNIT;;CARAGA;AGUSAN DEL SUR;SAN FRANCISCO;;8501;(085)8391240;;(085)8391240;;;;Government;Rural Health Unit;Active
78;DOH000000000000080;ATOK RURAL HEALTH UNIT;;CAR;BENGUET;ATOK;;2612;;;;;;;Government;Rural Health Unit;Active
79;DOH000000000000081;PE?ARRUBIA RURAL HEALTH UNIT;;CAR;ABRA;PE?ARRUBIA;POBLACION;2804;;;;;;;Government;Rural Health Unit;Active
80;DOH000000000000082;CALINAN DISTRICT HEALTH OFFICE;P-17;Region 11;DAVAO DEL SUR;DAVAO CITY;CALINAN  (POB.);8017;;;;;;;Government;District Health Office;Active
81;DOH000000000000083;DANGLAS RURAL HEALTH UNIT;;CAR;ABRA;DANGLAS;;2825;;;;;;;Government;Rural Health Unit;Active
82;DOH000000000000084;LAMUT MUNICIPAL HEALTH OFFICE;;CAR;IFUGAO;LAMUT;MABATOBATO (LAMUT);3605;;;;;;;Government;Municipal Health Office;Active
83;DOH000000000000085;AGUINALDO MUNICIPAL HEALTH OFFICE;;CAR;IFUGAO;AGUINALDO;;3606;;;;;;;Government;Municipal Health Office;Active
84;DOH000000000000086;BALABAC RURAL HEALTH UNIT;;Region 4B;PALAWAN;BALABAC;POBLACION I;;;;;;;;Government;Rural Health Unit;Active
85;DOH000000000000087;BANSUD RURAL HEALTH UNIT;;Region 4B;ORIENTAL MINDORO;BANSUD;POBLACION;5210;2487164;9285502910;2987022;;;;Government;Rural Health Unit;Active
86;DOH000000000000088;BUSUANGA RURAL HEALTH UNIT;;Region 4B;PALAWAN;BUSUANGA;NEW BUSUANGA (POB.);;;9062343749;;;;;Government;Rural Health Unit;Active
87;DOH000000000000089;KORONADAL CITY HEALTH OFFICE;Alunan Ave.;Region 12;SOUTH COTABATO;CITY OF KORONADAL (Capital);ZONE IV (POB.);9506;(083)2282293;;;;;;Government;City Health Office;Active
88;DOH000000000000090;ASUNCION RURAL HEALTH UNIT;;Region 11;DAVAO DEL NORTE;ASUNCION (SAUG);CAMBANOGOY (POB.);8102;(084) 3730219;9177043931;(084) 3730219;;;;Government;Rural Health Unit;Active
89;DOH000000000000091;MAKILALA RURAL HEALTH UNIT;;Region 12;COTABATO (NORTH COTABATO);MAKILALA;POBLACION;;(064)2682130;;;;;;Government;Rural Health Unit;Active
90;DOH000000000000092;CANDABA RURAL HEALTH UNIT I;;Region 3;PAMPANGA;CANDABA;;2013;;;;;;;Government;Rural Health Unit;Active
91;DOH000000000000094;HILONGOS RURAL HEALTH UNIT I;R. Villaflores;Region 8;LEYTE;HILONGOS;;6524;(053) 3362254;;;;;;Government;Rural Health Unit;Active
92;DOH000000000000095;QUEZON RURAL HEALTH UNIT;;Region 2;ISABELA;QUEZON;ARELLANO (POB.);3324;;9173731133;;;;;Government;Rural Health Unit;Active
93;DOH000000000000096;LEYTE RURAL HEALTH UNIT & FAMILY PLANNING CENTER;;Region 8;LEYTE;LEYTE;;6533;(053) 5480013;;;;;;Government;Rural Health Unit;Active
94;DOH000000000000099;SAN CLEMENTE RURAL HEALTH UNIT;;Region 3;TARLAC;SAN CLEMENTE;;2305;(045)9343475;;(045)9341244;;;;Government;Rural Health Unit;Active
95;DOH000000000000100;HAMTIC RURAL HEALTH UNIT;Tito Nava;Region 6;ANTIQUE;HAMTIC;POBLACION  3;5715;;9173050251;;;;;Government;Rural Health Unit;Active
96;DOH000000000000101;ROXAS RURAL HEALTH UNIT;;Region 4B;ORIENTAL MINDORO;ROXAS;BAGUMBAYAN (POB.);5212;(043) 4530309;9282275014;(043) 4530309;;;;Government;Rural Health Unit;Active
97;DOH000000000000102;PAYATAS B HEALTH CENTER;17 Bulacan Street;NCR;NCR, SECOND DISTRICT (Not a Province);QUEZON CITY;PAYATAS;1119;none;none;none;;;;Government;Rural Health Unit;Active
98;DOH000000000000103;TUGAYA RURAL HEALTH UNIT;;ARMM;LANAO DEL SUR;TUGAYA;;9317;;9163555687;;;;;Government;Rural Health Unit;Active
99;DOH000000000000104;NORTHERN DOCTORS GENERAL HOSPITAL;187 J.P.Rizal St. cor. D. Samonte St.;Region 1;ILOCOS NORTE;LAOAG CITY (Capital);BGY. NO. 19, SANTA MARCELA (POB.);2900;(077)7731354;;(077)7731514;;;;Private;Hospital;Active
100;DOH000000000000105;DIFFUN RURAL HEALTH UNIT;Mun. Compound, A. Bonifacio, Diffun, Quirino;Region 2;QUIRINO;DIFFUN;ANDRES BONIFACIO (POB.);3401;6947082;9175780360;;;;;Government;Rural Health Unit;Active
101;DOH000000000000106;SAN ISIDRO RURAL HEALTH UNIT;;Region 2;ISABELA;SAN ISIDRO;GOMEZ;3310;;;;;;;Government;Rural Health Unit;Active
102;DOH000000000000107;PONTEVEDRA RURAL HEALTH UNIT;Tacas Pontevedra;Region 6;CAPIZ;PONTEVEDRA;TACAS;5802;(036) 6340220;;;;;;Government;Rural Health Unit;Active
103;DOH000000000000109;IBAJAY I RURAL HEALTH UNIT;Braulio Manikan St.;Region 6;AKLAN;IBAJAY;POBLACION;5613;(036) 2892073;;;;;;Government;Rural Health Unit;Active
104;DOH000000000000110;KATIPUNAN RURAL HEALTH UNIT;;Region 9;ZAMBOANGA DEL NORTE;KATIPUNAN;;7109;;9279446690;;;;;Government;Rural Health Unit;Active
105;DOH000000000000111;PAGADIAN CITY RURAL HEALTH UNIT;;Region 9;ZAMBOANGA DEL SUR;PAGADIAN CITY (Capital);;7016;(062)2141966;;;;;;Government;Rural Health Unit;Active
106;DOH000000000000112;SANTA MARIA RURAL HEALTH UNIT;;Region 9;ZAMBOANGA DEL SUR;PAGADIAN CITY (Capital);SANTA MARIA;7000;;;;;;;Government;Rural Health Unit;Active
107;DOH000000000000113;TALON-TALON MAIN HEALTH CENTER;;Region 9;ZAMBOANGA DEL SUR;ZAMBOANGA CITY;TALON-TALON;7000;;;;;;;Government;Rural Health Unit;Active
108;DOH000000000000114;SEVILLA RURAL HEALTH UNIT;;Region 7;BOHOL;SEVILLA;;6347;;;;;;;Government;Rural Health Unit;Active
109;DOH000000000000115;CADIZ CITY HEALTH OFFICE AND EMERGENCY CLINIC;Cabahug Street;Region 6;NEGROS OCCIDENTAL;CADIZ CITY;;6121;(034) 4930087;;4930087;;;;Government;City Health Office;Active
110;DOH000000000000116;BATAC RURAL HEALTH UNIT  II;;Region 1;ILOCOS NORTE;BATAC;;2900;;;;;;;Government;Rural Health Unit;Active
111;DOH000000000000117;MALINAO RURAL HEALTH UNIT;Malinao, Albay;Region 5;ALBAY;MALINAO;;4512;(052) 4354872;;;;;;Government;Rural Health Unit;Active
112;DOH000000000000118;BUADIPOSO BUNTONG RURAL HEALTH UNIT;;ARMM;LANAO DEL SUR;BUADIPOSO-BUNTONG;;;;;;;;;Government;Rural Health Unit;Active
113;DOH000000000000119;CLAVERIA RURAL HEALTH UNIT;Pimentel St.;Region 10;MISAMIS ORIENTAL;CLAVERIA;POBLACION;9004;(088)3581494;;;;;;Government;Rural Health Unit;Active
114;DOH000000000000120;NEW BANICAIN HEALTH CENTER;;Region 3;ZAMBALES;OLONGAPO CITY;BANICAIN;2200;(047)6110382;;;;;;Government;Rural Health Unit;Active
115;DOH000000000000121;TABUK RURAL HEALTH UNIT II;;CAR;KALINGA;TABUK (Capital);;3808;;;;;;;Government;Rural Health Unit;Active
116;DOH000000000000122;SAN MATEO RURAL HEALTH UNIT;0458 St.;Region 2;ISABELA;SAN MATEO;BARANGAY IV (POB.);3318;;;;;;;Government;Rural Health Unit;Active
117;DOH000000000000123;BALASAN RURAL HEALTH UNIT;;Region 6;ILOILO;BALASAN;POBLACION SUR;5018;(033) 7080421;;;;;;Government;Rural Health Unit;Active
118;DOH000000000000125;MABAYUAN HEALTH CENTER;;Region 3;ZAMBALES;OLONGAPO CITY;MABAYUAN;2200;;;;;;;Government;Rural Health Unit;Active
119;DOH000000000000126;SAN PASCUAL RURAL HEALTH UNIT;Aquino Avenue;Region 4A;BATANGAS;SAN PASCUAL;POBLACION;4202;(043) 7274372;9285040529;(043)7272376;;;;Government;Rural Health Unit;Active
120;DOH000000000000127;BRAULIO E. DUJALI RURAL HEALTH UNIT;;Region 11;DAVAO DEL NORTE;BRAULIO E. DUJALI;DUJALI;;;9218156877;;;;;Government;Rural Health Unit;Active
121;DOH000000000000128;MACABEBE RURAL HEALTH UNIT II;;Region 3;PAMPANGA;MACABEBE;;2011;(045)3434218;;;;;;Government;Rural Health Unit;Active
122;DOH000000000000129;TALITAY RURAL HEALTH UNIT;Talitay St.;ARMM;MAGUINDANAO;TALITAY;;9600;none;9266206999;none;;;;Government;Rural Health Unit;Active
123;DOH000000000000130;SAN RICARDO RURAL HEALTH UNIT;San Ricardo, Southern Leyte;Region 8;SOUTHERN LEYTE;SAN RICARDO;;6613;;9160000000;;;;;Government;Rural Health Unit;Active
124;DOH000000000000131;MAHAPLAG RURAL HEALTH UNIT;;Region 8;LEYTE;MAHAPLAG;POBLACION;6512;;9180000000;;;;;Government;Rural Health Unit;Active
125;DOH000000000000132;ILAGAN RURAL HEALTH UNIT I;Cabasal;Region 2;ISABELA;ILAGAN (Capital);SAN VICENTE (POB.);3300;6223840;9182880925;;;;;Government;Rural Health Unit;Active
126;DOH000000000000133;LIMASAWA RURAL HEALTH UNIT;;Region 8;SOUTHERN LEYTE;LIMASAWA;CABULIHAN;6618;;9160000000;;;;;Government;Rural Health Unit;Active
127;DOH000000000000134;MARIPIPI RURAL HEALTH UNIT;;Region 8;BILIRAN;MARIPIPI;ERMITA (POBLACION SUR);6546;;;;;;;Government;Rural Health Unit;Active
128;DOH000000000000136;CONCEPCION RURAL HEALTH UNIT;;Region 10;MISAMIS OCCIDENTAL;CONCEPCION;POBLACION;7213;;;;;;;Government;Rural Health Unit;Active
129;DOH000000000000137;RAMON RURAL HEALTH UNIT;Quezon St.;Region 2;ISABELA;RAMON;BUGALLON PROPER (POB.);3319;8592168;;8592165;;;;Government;Rural Health Unit;Active
130;DOH000000000000138;BAGONG SILANG HEALTH CENTER;Bonifacio Street;NCR;NCR, SECOND DISTRICT (Not a Province);QUEZON CITY;BAGONG SILANGAN;1110;none;9235975042;none;;;;Government;Rural Health Unit;Active
131;DOH000000000000139;LIBJO (ALBOR) RURAL HEALTH UNIT;;CARAGA;DINAGAT ISLANDS;LIBJO (ALBOR);;8414;none;none;none;;;;Government;Rural Health Unit;Active
132;DOH000000000000140;KALAYAAN HEALTH CENTER;#97 Guirayan Street;NCR;NCR, SECOND DISTRICT (Not a Province);QUEZON CITY;DONA IMELDA;;none;none;none;;;;Government;Rural Health Unit;Active
133;DOH000000000000141;ALEGRIA MUNICIPAL HEALTH OFFICE;P1, Gamuton, Alegria, Surigao del Norte;CARAGA;SURIGAO DEL NORTE;ALEGRIA;GAMUTON;8425;none;9179049329;none;;;;Government;Rural Health Unit;Active
134;DOH000000000000142;PARACELIS RURAL HEALTH UNIT;;CAR;MOUNTAIN PROVINCE;PARACELIS;;2625;none;none;none;;;;Government;Rural Health Unit;Active
135;DOH000000000000143;ELVIN U. MASIGAN INTEGRATED MEMORIAL HOSPITAL;;Region 2;ISABELA;SANTA MARIA;POBLACION  1;3330;;;;;;;Government;Hospital;Active
136;DOH000000000000144;NEW WASHINGTON RURAL HEALTH UNIT;New Washington, Poblacion;Region 6;AKLAN;NEW WASHINGTON;POBLACION;5610;(036) 2643396;;;;;;Government;Rural Health Unit;Active
137;DOH000000000000145;VETERANS HEALTH CENTER;6 Fausto Street;NCR;NCR, SECOND DISTRICT (Not a Province);QUEZON CITY;SAN VICENTE;1127;none;none;none;;;;Government;Rural Health Unit;Active
138;DOH000000000000146;LA LIBERTAD RURAL HEALTH UNIT;La Libertad,Zamboanga del Norte;Region 9;ZAMBOANGA DEL NORTE;LA LIBERTAD;;7119;;9109168169;;;;;Government;Rural Health Unit;Active
139;DOH000000000000147;VILLAVERDE RURAL HEALTH UNIT;Provincial Road;Region 2;NUEVA VIZCAYA;VILLAVERDE;POBLACION (TUROD);3710;;;;;;;Government;Rural Health Unit;Active
140;DOH000000000000148;TUGUEGARAO CITY HEALTH OFFICE;San Gabriel, Tuguegarao City, Cagayan;Region 2;CAGAYAN;TUGUEGARAO CITY(Capital);SAN GABRIEL;3500;(078) 8462167;;(078) 8464870;;;;Government;City Health Office;Active
141;DOH000000000000149;SANTA CRUZ RURAL HEALTH UNIT I;0458 St. Scolapia;Region 4A;LAGUNA;SANTA CRUZ (Capital);BARANGAY III (POB.);4009;(049) 8080359;9196333302;;;;;Government;Rural Health Unit;Active
142;DOH000000000000150;MALUSO RURAL HEALTH UNIT;;ARMM;BASILAN;MALUSO;;7303;;918361771;;;;;Government;Rural Health Unit;Active
143;DOH000000000000151;CITY OF SAN FERNANDO (CAPITAL) RURAL HEALTH UNIT III;;Region 3;PAMPANGA;CITY OF SAN FERNANDO (Capital);;2000;(045)4361412;;;;;;Government;Rural Health Unit;Active
144;DOH000000000000152;SANTA CRUZ RURAL HEALTH UNIT II;;Region 3;ZAMBALES;SANTA CRUZ;;2213;;9165122172;;;;;Government;Rural Health Unit;Active
145;DOH000000000000153;SAN JOSE RURAL HEALTH UNIT;;Region 4B;ROMBLON;SAN JOSE;POBLACION (AGCOGON);5510;;;;;;;Government;Rural Health Unit;Active
