id;test_id;test_name;result_id;result;loinc_code;loinc_attribute;updated;method
12;19701;Biliary Tract Malignancy, FISH Only;19430;Addendum Pathologist:;19139-5;Pathologist name:PN:Pt:Provider:Nom:;2009-11-13;Fluorescence In Situ Hybridization (FISH)
13;19701;Biliary Tract Malignancy, FISH Only;19419;Ref Path/Phys Address;74221-3;Referring physician address:Addr:Pt:Provider:Nom;2014-01-27;Fluorescence In Situ Hybridization (FISH)
14;19701;Biliary Tract Malignancy, FISH Only;19418;Referring Pathologist/Physician;46608-6;Primary referring physician ID:ID:Pt:Provider:Nom:;2013-05-22;Fluorescence In Situ Hybridization (FISH)
15;19701;Biliary Tract Malignancy, FISH Only;19422;Comment:;48767-8;Annotation comment:Imp:Pt:{system}:Nar:;2014-06-25;Fluorescence In Situ Hybridization (FISH)
16;199PC;Carbohydrate Antigen 19-9 (CA 19-9), Pancreatic Cyst Fluid;SITE6;Site;39111-0;Body site:Anat:Pt:^Patient:Nom:;2013-08-08;Immunoenzymatic Assay
17;199PC;Carbohydrate Antigen 19-9 (CA 19-9), Pancreatic Cyst Fluid;199P;CA19-9, Pancreatic Cyst;26924-1;Cancer Ag 19-9:ACnc:Pt:Body fld:Qn:;2012-03-12;Immunoenzymatic Assay
18;199PT;Carbohydrate Antigen 19-9 (CA 19-9), Peritoneal Fluid;SITEE;Site;39111-0;Body site:Anat:Pt:^Patient:Nom:;2013-04-11;Immunoenzymatic Assay
19;199PT;Carbohydrate Antigen 19-9 (CA 19-9), Peritoneal Fluid;199PN;CA 19-9, Peritoneal Fluid;50781-4;Cancer Ag 19-9:ACnc:Pt:Periton fld:Qn:;2013-04-11;Immunoenzymatic Assay
20;1A2;Cytochrome P450 1A2 Genotype;45499;1A2 Phenotype Interpretation;69047-9;Service comment 01:Imp:Pt:XXX:Nom:;2012-04-05;Polymerase Chain Reaction (PCR) with Allele-Specific Primer Extension (ASPE)/Bead Hybridization with Fluorescence Detection(PCR is utilized pursuant to a license agreement with Roche Molecular Systems, Inc.)
21;1A2O;Cytochrome P450 1A2 Genotype, Saliva;33021;1A2 Phenotype Interpretation;69047-9;Service comment 01:Imp:Pt:XXX:Nom:;2012-04-05;Polymerase Chain Reaction (PCR) with Allele Specific Primer Extension (ASPE)/Bead Hybridization with Fluorescence Detection(PCR is utilized pursuant to a license agreement with Roche Molecular Systems, Inc.)
22;1STT;First Trimester Maternal Screen;26438;Additional Comments;55107-7;Addendum:Find:Pt:^Patient:Doc:;2012-01-27;Immunoenzymatic Assay
23;1STT;First Trimester Maternal Screen;26436;Trisomy 18 Screen Risk Estimate;43994-3;Trisomy 18 risk:Find:Pt:^Fetus:Qn:;2009-11-13;Immunoenzymatic Assay
24;1STT;First Trimester Maternal Screen;26437;Interpretation;59462-2;;2012-04-09;Immunoenzymatic Assay
25;1STT;First Trimester Maternal Screen;B_RCE;Black race;21484-1;Race:Type:Pt:^Mother:Nom:;2012-03-12;Immunoenzymatic Assay
26;1STT;First Trimester Maternal Screen;26435;Down Syndrome Maternal Age Risk;49090-4;Trisomy 21 risk based on maternal age:Find:Pt:^Fetus:Qn:;2009-11-13;Immunoenzymatic Assay
27;1STT;First Trimester Maternal Screen;26434;Down Syndrome Screen Risk Estimate;43995-0;Trisomy 21 risk:Find:Pt:^Fetus:Qn:;2009-11-13;Immunoenzymatic Assay
28;1STT;First Trimester Maternal Screen;26426;PAPP-A;32046-5;Pregnancy associated plasma protein A:ACnc:Pt:Ser/Plas:Qn:;2009-11-13;Immunoenzymatic Assay
29;1STT;First Trimester Maternal Screen;26427;THCG;19080-1;Choriogonadotropin:ACnc:Pt:Ser/Plas:Qn:;2009-11-13;Immunoenzymatic Assay
30;1STT;First Trimester Maternal Screen;NT_;NT;48803-1;Neural tube defect risk:Find:Pt:^Fetus:Qn:;2012-03-15;Immunoenzymatic Assay
31;1STT;First Trimester Maternal Screen;26430;GA on Collection by U/S Scan;11888-5;Gestational age:Time:Pt:^Fetus:Qn:US.composite.estimated;2009-11-13;Immunoenzymatic Assay
32;1STT;First Trimester Maternal Screen;NT_B;NT Twin B;48803-1;Neural tube defect risk:Find:Pt:^Fetus:Qn:;2012-03-15;Immunoenzymatic Assay
33;1STT;First Trimester Maternal Screen;CRL1;CRL Measure 1;11957-8;Length.crown rump:Len:Pt:^Fetus:Qn:US.measured;2012-03-15;Immunoenzymatic Assay
34;1STT;First Trimester Maternal Screen;CRL2;CRL Measure 2;11957-8;Length.crown rump:Len:Pt:^Fetus:Qn:US.measured;2012-03-15;Immunoenzymatic Assay
35;1STT;First Trimester Maternal Screen;IVF;IVF;47224-1;In vitro fertilization pregnancy:Acnc:Pt:^Patient:Ord:;2012-03-15;Immunoenzymatic Assay
36;1STT;First Trimester Maternal Screen;DT3;Scan Date;34970-4;Date ultrasound:TmStp:Pt:^Patient:Qn:;2012-03-15;Immunoenzymatic Assay
37;1STT;First Trimester Maternal Screen;NUMF;Number of Fetuses;55281-0;Fetuses:Num:Pt:^Patient:Qn:;2012-03-15;Immunoenzymatic Assay
38;1STT;First Trimester Maternal Screen;26880;Maternal Weight;29463-7;Body weight:Mass:Pt:^Patient:Qn:;2009-11-13;Immunoenzymatic Assay
39;1STT;First Trimester Maternal Screen;IDD_;Insulin dependent diabetes;33248-6;Diabetes status:Prid:Pt:^Patient:Nom:;2012-03-15;Immunoenzymatic Assay
40;1STT;First Trimester Maternal Screen;26413;Maternal Weight;29463-7;Body weight:Mass:Pt:^Patient:Qn:;2009-11-13;Immunoenzymatic Assay
41;1STT;First Trimester Maternal Screen;26429;Calculated Age at EDD;43993-5;Age.at delivery:Time:Pt:^Patient:Qn:;2009-11-13;Immunoenzymatic Assay
42;1STT;First Trimester Maternal Screen;26428;Recalculated Maternal Serum Screen;43995-0;Trisomy 21 risk:Find:Pt:^Fetus:Qn:;2009-11-13;Immunoenzymatic Assay
43;1STT;First Trimester Maternal Screen;26412;Maternal Birthdate;21112-8;Birth date:TmStp:Pt:^Patient:Qn:;2009-11-13;Immunoenzymatic Assay
44;1STT;First Trimester Maternal Screen;26411;Collection Date;51953-8;Collection date:TmStp:Pt:Bld:Qn:;2009-11-13;Immunoenzymatic Assay
45;20405;Barrett's-Associated Neoplasia, Cytology and FISH;20420;Addendum Pathologist:;19139-5;Pathologist name:Pn:Pt:Provider:Nom:;2011-06-21;Light Microscopy/Fluorescence In Situ Hybridization (FISH)
46;20405;Barrett's-Associated Neoplasia, Cytology and FISH;20418;Addendum:;35265-8;Path report.addendum:Find:Pt:Specimen:Nar:;2011-06-21;Light Microscopy/Fluorescence In Situ Hybridization (FISH)
47;20405;Barrett's-Associated Neoplasia, Cytology and FISH;20419;Addendum Comment:;22638-1;Path report.comments:Imp:Pt:Specimen:Nar:;2011-06-21;Light Microscopy/Fluorescence In Situ Hybridization (FISH)
48;20405;Barrett's-Associated Neoplasia, Cytology and FISH;20414;Specimen Description:;33511-7;Appearance:Aper:Pt:XXX:Nom:;2011-06-21;Light Microscopy/Fluorescence In Situ Hybridization (FISH)
49;20405;Barrett's-Associated Neoplasia, Cytology and FISH;20413;Signing Pathologist:;19139-5;Pathologist name:ID:Pt:Provider:Nom:;2011-06-29;Light Microscopy/Fluorescence In Situ Hybridization (FISH)
50;20405;Barrett's-Associated Neoplasia, Cytology and FISH;20410;Final Diagnosis:;34574-4;Path report.final diagnosis:Imp:Pt:Specimen:Nom:;2011-06-21;Light Microscopy/Fluorescence In Situ Hybridization (FISH)
51;20405;Barrett's-Associated Neoplasia, Cytology and FISH;20411;Comment:;22638-1;Path report.comments:Imp:Pt:Specimen:Nar:;2011-08-29;Light Microscopy/Fluorescence In Situ Hybridization (FISH)
52;20405;Barrett's-Associated Neoplasia, Cytology and FISH;20407;Referring Pathologist/Physician;46608-6;Primary referring physician ID:ID:Pt:Provider:Nom:;2011-06-21;Light Microscopy/Fluorescence In Situ Hybridization (FISH)
53;20405;Barrett's-Associated Neoplasia, Cytology and FISH;20408;Ref Path/Phys Address;74221-3;Referring physician address:Addr:Pt:Provider:Nom;2014-01-27;Light Microscopy/Fluorescence In Situ Hybridization (FISH)
54;25HDN;25-Hydroxyvitamin D2 and D3, Serum;2897;25-Hydroxy D2;49054-0;25-Hydroxycalciferol:MCnc:Pt:Ser/Plas:Qn:;2009-11-13;Liquid Chromatography-Tandem Mass Spectrometry (LC-MS/MS)
55;25HDN;25-Hydroxyvitamin D2 and D3, Serum;2898;25-Hydroxy D3;1989-3;Calcitriol:MCnc:Pt:Ser/Plas:Qn:;2012-02-06;Liquid Chromatography-Tandem Mass Spectrometry (LC-MS/MS)
56;25HDN;25-Hydroxyvitamin D2 and D3, Serum;83670;25-Hydroxy D Total;62292-8;Calcidiol:MCnc:Pt:Ser/Plas:Qn:;2012-02-06;Liquid Chromatography-Tandem Mass Spectrometry (LC-MS/MS)
57;4339;DermPath Consultation, Wet Tissue;18277;Addendum Pathologist:;19139-5;Pathologist name:PN:Pt:Provider:Nom:;2009-11-13;Formalin-fixed tissues are processed and embedded in paraffin; serial sections are stained with hematoxylin and eosin and examined by light microscopy. Special stains are obtained when indicated.
58;4339;DermPath Consultation, Wet Tissue;18269;Diagnostic Impression:;62365-2;Diagnostic impression:Imp:Pt:XXX:Nar:Molgen;2013-12-05;Formalin-fixed tissues are processed and embedded in paraffin; serial sections are stained with hematoxylin and eosin and examined by light microscopy. Special stains are obtained when indicated.
59;4339;DermPath Consultation, Wet Tissue;18265;Referring Pathologist/Physician;46608-6;Primary referring physician ID:ID:Pt:Provider:Nom:;2013-05-22;Formalin-fixed tissues are processed and embedded in paraffin; serial sections are stained with hematoxylin and eosin and examined by light microscopy. Special stains are obtained when indicated.
60;4339;DermPath Consultation, Wet Tissue;18276;Addendum:;35265-8;Path report.addendum:Find:Pt:Specimen:Nar:;2009-11-13;Formalin-fixed tissues are processed and embedded in paraffin; serial sections are stained with hematoxylin and eosin and examined by light microscopy. Special stains are obtained when indicated.
61;4339;DermPath Consultation, Wet Tissue;19191;Addendum Comment:;22638-1;Path report.comments:Imp:Pt:Specimen:Nar:;2009-11-13;Formalin-fixed tissues are processed and embedded in paraffin; serial sections are stained with hematoxylin and eosin and examined by light microscopy. Special stains are obtained when indicated.
62;4339;DermPath Consultation, Wet Tissue;18272;Signing Pathologist:;19139-5;Pathologist name:ID:Pt:Provider:Nom:;2011-06-29;Formalin-fixed tissues are processed and embedded in paraffin; serial sections are stained with hematoxylin and eosin and examined by light microscopy. Special stains are obtained when indicated.
63;4339;DermPath Consultation, Wet Tissue;18270;Comment:;48767-8;Annotation comment:Imp:Pt:{system}:Nar:;2012-10-31;Formalin-fixed tissues are processed and embedded in paraffin; serial sections are stained with hematoxylin and eosin and examined by light microscopy. Special stains are obtained when indicated.
64;4339;DermPath Consultation, Wet Tissue;18268;Anatomic Site of Tissue:;39111-0;Body site:Anat:Pt:^Patient:Nom:;2009-11-13;Formalin-fixed tissues are processed and embedded in paraffin; serial sections are stained with hematoxylin and eosin and examined by light microscopy. Special stains are obtained when indicated.
65;4339;DermPath Consultation, Wet Tissue;18266;Ref Path/Phys Address;74221-3;Referring physician address:Addr:Pt:Provider:Nom;2014-01-27;Formalin-fixed tissues are processed and embedded in paraffin; serial sections are stained with hematoxylin and eosin and examined by light microscopy. Special stains are obtained when indicated.
66;4993;Electron Microscopy;18314;Addendum:;35265-8;Path report.addendum:Find:Pt:Specimen:Nar:;2009-11-13;Electron Microscopy
67;4993;Electron Microscopy;18298;Ref Path/Phys Address;74221-3;Referring physician address:Addr:Pt:Provider:Nom;2014-01-27;Electron Microscopy
68;4993;Electron Microscopy;18310;Signing Pathologist:;19139-5;Pathologist name:ID:Pt:Provider:Nom:;2011-06-29;Electron Microscopy
69;4993;Electron Microscopy;19191;Addendum Comment:;22638-1;Path report.comments:Imp:Pt:Specimen:Nar:;2009-11-13;Electron Microscopy
70;4993;Electron Microscopy;18302;Specimen:;31208-2;Specimen source:Prid:Pt:XXX:Nom:;2009-11-13;Electron Microscopy
71;4993;Electron Microscopy;18307;Final Diagnosis:;34574-4;Path report.final diagnosis:Imp:Pt:Specimen:Nom:;2009-11-13;Electron Microscopy
72;4993;Electron Microscopy;18300;Date and Time of Death:;31211-6;Date of death:TmStp:Pt:^Patient:Qn:;2011-10-05;Electron Microscopy
73;4993;Electron Microscopy;18308;Comment:;48767-8;Annotation comment:Imp:Pt:{system}:Nar:;2012-10-31;Electron Microscopy
74;4993;Electron Microscopy;18304;Tissue Description:;22634-0;Path report.gross observation:Find:Pt:Specimen:Nar:;2009-11-13;Electron Microscopy
75;4993;Electron Microscopy;18999;Final Diagnosis:;34574-4;Path report.final diagnosis:Imp:Pt:Specimen:Nom:;2009-11-13;Electron Microscopy
76;4993;Electron Microscopy;18297;Referring Pathologist/Physician;46608-6;Primary referring physician ID:ID:Pt:Provider:Nom:;2011-06-29;Electron Microscopy
77;4993;Electron Microscopy;18299;Place of Death:;21987-3;Geographic place of death:Type:Pt:^Patient:Nom:;2009-11-13;Electron Microscopy
78;4993;Electron Microscopy;18315;Addendum Pathologist:;19139-5;Pathologist name:PN:Pt:Provider:Nom:;2009-11-13;Electron Microscopy
79;5361;Cardiovascular or Cardiopulmonary Consultation, Autopsy;19191;Addendum Comment:;22638-1;Path report.comments:Imp:Pt:Specimen:Nar:;2009-11-13;Includes hematoxylin-and-eosin and Verhoeff's/Van Gieson's stains.
80;5361;Cardiovascular or Cardiopulmonary Consultation, Autopsy;18461;Addendum:;35265-8;Path report.addendum:Find:Pt:Specimen:Nar:;2009-11-13;Includes hematoxylin-and-eosin and Verhoeff's/Van Gieson's stains.
81;5361;Cardiovascular or Cardiopulmonary Consultation, Autopsy;18447;Date and Time of Death:;31211-6;Date of death:TmStp:Pt:^Patient:Qn:;2011-10-05;Includes hematoxylin-and-eosin and Verhoeff's/Van Gieson's stains.
82;5361;Cardiovascular or Cardiopulmonary Consultation, Autopsy;18449;Specimen:;31208-2;Specimen source:Prid:Pt:XXX:Nom:;2009-11-13;Includes hematoxylin-and-eosin and Verhoeff's/Van Gieson's stains.
83;5361;Cardiovascular or Cardiopulmonary Consultation, Autopsy;18451;Tissue Description:;22634-0;Path report.gross observation:Find:Pt:Specimen:Nar:;2009-11-13;Includes hematoxylin-and-eosin and Verhoeff's/Van Gieson's stains.
84;5361;Cardiovascular or Cardiopulmonary Consultation, Autopsy;18444;Referring Pathologist/Physician;46608-6;Primary referring physician ID:ID:Pt:Provider:Nom:;2011-06-29;Includes hematoxylin-and-eosin and Verhoeff's/Van Gieson's stains.
85;5361;Cardiovascular or Cardiopulmonary Consultation, Autopsy;18457;Signing Pathologist:;19139-5;Pathologist name:ID:Pt:Provider:Nom:;2011-06-29;Includes hematoxylin-and-eosin and Verhoeff's/Van Gieson's stains.
86;5361;Cardiovascular or Cardiopulmonary Consultation, Autopsy;18454;Final Diagnosis:;34574-4;Path report.final diagnosis:Imp:Pt:Specimen:Nom:;2009-11-13;Includes hematoxylin-and-eosin and Verhoeff's/Van Gieson's stains.
87;5361;Cardiovascular or Cardiopulmonary Consultation, Autopsy;18446;Place of Death:;21987-3;Geographic place of death:Type:Pt:^Patient:Nom:;2009-11-13;Includes hematoxylin-and-eosin and Verhoeff's/Van Gieson's stains.
88;5361;Cardiovascular or Cardiopulmonary Consultation, Autopsy;18455;Comment:;48767-8;Annotation comment:Imp:Pt:{system}:Nar:;2012-10-31;Includes hematoxylin-and-eosin and Verhoeff's/Van Gieson's stains.
89;5361;Cardiovascular or Cardiopulmonary Consultation, Autopsy;18445;Ref Path/Phys Address;74221-3;Referring physician address:Addr:Pt:Provider:Nom;2014-01-27;Includes hematoxylin-and-eosin and Verhoeff's/Van Gieson's stains.
90;5361;Cardiovascular or Cardiopulmonary Consultation, Autopsy;18462;Addendum Pathologist:;19139-5;Pathologist name:PN:Pt:Provider:Nom:;2009-11-13;Includes hematoxylin-and-eosin and Verhoeff's/Van Gieson's stains.
91;5362;Endomyocardial Biopsy;18481;Addendum:;35265-8;Path report.addendum:Find:Pt:Specimen:Nar:;2009-11-13;Light MicroscopyIncludes hematoxylin-and-eosin, Gomori's iron, and sulfated alcian blue stains.Electron microscopy, immunoperoxidase, and immunofluorescence are available upon special request. For special studies, call BEFORE the biopsy is performed.
92;5362;Endomyocardial Biopsy;18991;Final Diagnosis:;34574-4;Path report.final diagnosis:Imp:Pt:Specimen:Nom:;2009-11-13;Light MicroscopyIncludes hematoxylin-and-eosin, Gomori's iron, and sulfated alcian blue stains.Electron microscopy, immunoperoxidase, and immunofluorescence are available upon special request. For special studies, call BEFORE the biopsy is performed.
93;5362;Endomyocardial Biopsy;18475;Comment:;48767-8;Annotation comment:Imp:Pt:{system}:Nar:;2012-10-31;Light MicroscopyIncludes hematoxylin-and-eosin, Gomori's iron, and sulfated alcian blue stains.Electron microscopy, immunoperoxidase, and immunofluorescence are available upon special request. For special studies, call BEFORE the biopsy is performed.
94;5362;Endomyocardial Biopsy;18477;Signing Pathologist:;19139-5;Pathologist name:ID:Pt:Provider:Nom:;2011-06-29;Light MicroscopyIncludes hematoxylin-and-eosin, Gomori's iron, and sulfated alcian blue stains.Electron microscopy, immunoperoxidase, and immunofluorescence are available upon special request. For special studies, call BEFORE the biopsy is performed.
95;5362;Endomyocardial Biopsy;18467;Date and Time of Death:;31211-6;Date of death:TmStp:Pt:^Patient:Qn:;2011-10-05;Light MicroscopyIncludes hematoxylin-and-eosin, Gomori's iron, and sulfated alcian blue stains.Electron microscopy, immunoperoxidase, and immunofluorescence are available upon special request. For special studies, call BEFORE the biopsy is performed.
96;5362;Endomyocardial Biopsy;18474;Final Diagnosis:;34574-4;Path report.final diagnosis:Imp:Pt:Specimen:Nom:;2009-11-13;Light MicroscopyIncludes hematoxylin-and-eosin, Gomori's iron, and sulfated alcian blue stains.Electron microscopy, immunoperoxidase, and immunofluorescence are available upon special request. For special studies, call BEFORE the biopsy is performed.
97;5362;Endomyocardial Biopsy;18471;Tissue Description:;22634-0;Path report.gross observation:Find:Pt:Specimen:Nar:;2009-11-13;Light MicroscopyIncludes hematoxylin-and-eosin, Gomori's iron, and sulfated alcian blue stains.Electron microscopy, immunoperoxidase, and immunofluorescence are available upon special request. For special studies, call BEFORE the biopsy is performed.
98;5362;Endomyocardial Biopsy;18469;Specimen:;31208-2;Specimen source:Prid:Pt:XXX:Nom:;2009-11-13;Light MicroscopyIncludes hematoxylin-and-eosin, Gomori's iron, and sulfated alcian blue stains.Electron microscopy, immunoperoxidase, and immunofluorescence are available upon special request. For special studies, call BEFORE the biopsy is performed.
99;5362;Endomyocardial Biopsy;18466;Place of Death:;21987-3;Geographic place of death:Type:Pt:^Patient:Nom:;2009-11-13;Light MicroscopyIncludes hematoxylin-and-eosin, Gomori's iron, and sulfated alcian blue stains.Electron microscopy, immunoperoxidase, and immunofluorescence are available upon special request. For special studies, call BEFORE the biopsy is performed.
100;5362;Endomyocardial Biopsy;18465;Ref Path/Phys Address;74221-3;Referring physician address:Addr:Pt:Provider:Nom;2014-01-27;Light MicroscopyIncludes hematoxylin-and-eosin, Gomori's iron, and sulfated alcian blue stains.Electron microscopy, immunoperoxidase, and immunofluorescence are available upon special request. For special studies, call BEFORE the biopsy is performed.
101;5362;Endomyocardial Biopsy;18464;Referring Pathologist/Physician;46608-6;Primary referring physician ID:ID:Pt:Provider:Nom:;2011-06-29;Light MicroscopyIncludes hematoxylin-and-eosin, Gomori's iron, and sulfated alcian blue stains.Electron microscopy, immunoperoxidase, and immunofluorescence are available upon special request. For special studies, call BEFORE the biopsy is performed.
102;5362;Endomyocardial Biopsy;19191;Addendum Comment:;22638-1;Path report.comments:Imp:Pt:Specimen:Nar:;2009-11-13;Light MicroscopyIncludes hematoxylin-and-eosin, Gomori's iron, and sulfated alcian blue stains.Electron microscopy, immunoperoxidase, and immunofluorescence are available upon special request. For special studies, call BEFORE the biopsy is performed.
103;5362;Endomyocardial Biopsy;18482;Addendum Pathologist:;19139-5;Pathologist name:PN:Pt:Provider:Nom:;2009-11-13;Light MicroscopyIncludes hematoxylin-and-eosin, Gomori's iron, and sulfated alcian blue stains.Electron microscopy, immunoperoxidase, and immunofluorescence are available upon special request. For special studies, call BEFORE the biopsy is performed.
104;5368;Central Nervous System Consultation, Autopsy;18501;Addendum:;35265-8;Path report.addendum:Find:Pt:Specimen:Nar:;2009-11-13;Includes hematoxylin-and-esosin stains. Additional special stains or procedures necessary for diagnosis will be billed separately.
105;5368;Central Nervous System Consultation, Autopsy;19191;Addendum Comment:;22638-1;Path report.comments:Imp:Pt:Specimen:Nar:;2009-11-13;Includes hematoxylin-and-esosin stains. Additional special stains or procedures necessary for diagnosis will be billed separately.
106;5368;Central Nervous System Consultation, Autopsy;18497;Signing Pathologist:;19139-5;Pathologist name:ID:Pt:Provider:Nom:;2013-08-08;Includes hematoxylin-and-esosin stains. Additional special stains or procedures necessary for diagnosis will be billed separately.
107;5368;Central Nervous System Consultation, Autopsy;18485;Ref Path/Phys Address;74221-3;Referring physician address:Addr:Pt:Provider:Nom;2014-01-27;Includes hematoxylin-and-esosin stains. Additional special stains or procedures necessary for diagnosis will be billed separately.
108;5368;Central Nervous System Consultation, Autopsy;18486;Place of Death:;21987-3;Geographic place of death:Type:Pt:^Patient:Nom:;2009-11-13;Includes hematoxylin-and-esosin stains. Additional special stains or procedures necessary for diagnosis will be billed separately.
109;5368;Central Nervous System Consultation, Autopsy;18495;Comment:;48767-8;Annotation comment:Imp:Pt:{system}:Nar:;2012-10-31;Includes hematoxylin-and-esosin stains. Additional special stains or procedures necessary for diagnosis will be billed separately.
110;5368;Central Nervous System Consultation, Autopsy;18494;Final Diagnosis:;34574-4;Path report.final diagnosis:Imp:Pt:Specimen:Nom:;2009-11-13;Includes hematoxylin-and-esosin stains. Additional special stains or procedures necessary for diagnosis will be billed separately.
111;5368;Central Nervous System Consultation, Autopsy;18491;Tissue Description:;22634-0;Path report.gross observation:Find:Pt:Specimen:Nar:;2009-11-13;Includes hematoxylin-and-esosin stains. Additional special stains or procedures necessary for diagnosis will be billed separately.
112;5368;Central Nervous System Consultation, Autopsy;18489;Specimen:;31208-2;Specimen source:Prid:Pt:XXX:Nom:;2009-11-13;Includes hematoxylin-and-esosin stains. Additional special stains or procedures necessary for diagnosis will be billed separately.
113;5368;Central Nervous System Consultation, Autopsy;18487;Date and Time of Death:;31211-6;Date of death:TmStp:Pt:^Patient:Qn:;2011-10-05;Includes hematoxylin-and-esosin stains. Additional special stains or procedures necessary for diagnosis will be billed separately.
114;5368;Central Nervous System Consultation, Autopsy;18502;Addendum Pathologist:;19139-5;Pathologist name:PN:Pt:Provider:Nom:;2009-11-13;Includes hematoxylin-and-esosin stains. Additional special stains or procedures necessary for diagnosis will be billed separately.
115;5368;Central Nervous System Consultation, Autopsy;18484;Referring Pathologist/Physician;46608-6;Primary referring physician ID:ID:Pt:Provider:Nom:;2011-06-29;Includes hematoxylin-and-esosin stains. Additional special stains or procedures necessary for diagnosis will be billed separately.
116;5581;Surgical Pathology Consultation, Slides or Blocks to Scottsdale;1112;Pathologist:;19139-5;Pathologist name:ID:Pt:Provider:Nom:;2009-11-13;
117;5581;Surgical Pathology Consultation, Slides or Blocks to Scottsdale;1074;Diagnosis:;29308-4;Diagnosis:Imp:Pt:^Patient:Nom:;2009-11-13;
118;5581;Surgical Pathology Consultation, Slides or Blocks to Scottsdale;1084;Addendum:;35265-8;Path report.addendum:Find:Pt:Specimen:Nar:;2009-11-13;
119;5581;Surgical Pathology Consultation, Slides or Blocks to Scottsdale;1071;Specimen:;31208-2;Specimen source:Prid:Pt:XXX:Nom:;2009-11-13;
120;60198;HER2, Gastric/Esophageal, Semi-Quantitative Immunohistochemistry, Manual;20336;Addendum:;35265-8;Path report.addendum:Find:Pt:Specimen:Nar:;2011-06-21;US Food and Drug Administration (FDA)-Approved Ventana Pathway Immunoperoxidase Stain
121;60198;HER2, Gastric/Esophageal, Semi-Quantitative Immunohistochemistry, Manual;20333;Comment:;22638-1;Path report.comments:Imp:Pt:Specimen:Nar:;2011-08-29;US Food and Drug Administration (FDA)-Approved Ventana Pathway Immunoperoxidase Stain
122;60198;HER2, Gastric/Esophageal, Semi-Quantitative Immunohistochemistry, Manual;20329;Ref Path/Phys Address;74221-3;Referring physician address:Addr:Pt:Provider:Nom;2014-01-27;US Food and Drug Administration (FDA)-Approved Ventana Pathway Immunoperoxidase Stain
123;60198;HER2, Gastric/Esophageal, Semi-Quantitative Immunohistochemistry, Manual;20337;Addendum Comment:;22638-1;Path report.comments:Imp:Pt:Specimen:Nar:;2011-06-21;US Food and Drug Administration (FDA)-Approved Ventana Pathway Immunoperoxidase Stain
124;60198;HER2, Gastric/Esophageal, Semi-Quantitative Immunohistochemistry, Manual;20338;Addendum Pathologist:;19139-5;Pathologist name:Pn:Pt:Provider:Nom:;2011-06-21;US Food and Drug Administration (FDA)-Approved Ventana Pathway Immunoperoxidase Stain
125;60198;HER2, Gastric/Esophageal, Semi-Quantitative Immunohistochemistry, Manual;20331;Tissue:;31208-2;Specimen source:Prid:Pt:XXX:Nom:;2011-06-21;US Food and Drug Administration (FDA)-Approved Ventana Pathway Immunoperoxidase Stain
126;60198;HER2, Gastric/Esophageal, Semi-Quantitative Immunohistochemistry, Manual;20328;Referring Pathologist/Physician;46608-6;Primary referring physician ID:ID:Pt:Provider:Nom:;2011-06-21;US Food and Drug Administration (FDA)-Approved Ventana Pathway Immunoperoxidase Stain
